symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,alpha,days
0005.HK,逆向(恐懼買/貪婪賣),1.972,0.018,-0.002,1.0,1,1.041,0.04,0.931,33
0005.HK,順向(散戶看多跟買),1.796,0.065,-0.081,1.0,2,1.041,0.04,0.756,33
0288.HK,逆向(恐懼買/貪婪賣),0.949,0.004,-0.002,1.0,1,-2.169,-0.068,3.118,33
0386.HK,逆向(恐懼買/貪婪賣),0.501,0.01,-0.023,1.0,1,-3.84,-0.104,4.341,33
0322.HK,逆向(恐懼買/貪婪賣),-0.422,-0.006,-0.033,0.0,1,-3.0,-0.163,2.578,33
0016.HK,逆向(恐懼買/貪婪賣),-0.613,-0.005,-0.025,0.0,1,-5.192,-0.185,4.58,33
0002.HK,逆向(恐懼買/貪婪賣),-0.815,-0.001,-0.008,0.0,1,-1.947,-0.029,1.132,33
0267.HK,順向(散戶看多跟買),-1.362,-0.052,-0.11,0.5,2,-1.224,-0.047,-0.138,33
0316.HK,順向(散戶看多跟買),-1.879,-0.099,-0.137,0.0,2,-1.96,-0.103,0.08,33
0316.HK,逆向(恐懼買/貪婪賣),-2.048,-0.018,-0.026,0.0,1,-1.96,-0.103,-0.088,33
0267.HK,逆向(恐懼買/貪婪賣),-2.251,-0.001,-0.002,0.0,1,-1.224,-0.047,-1.027,33
0288.HK,順向(散戶看多跟買),-2.55,-0.08,-0.112,0.0,2,-2.169,-0.068,-0.381,33
0002.HK,順向(散戶看多跟買),-2.746,-0.039,-0.055,0.0,2,-1.947,-0.029,-0.798,33
0101.HK,逆向(恐懼買/貪婪賣),-2.76,-0.008,-0.01,0.0,1,-6.43,-0.172,3.669,33
0291.HK,逆向(恐懼買/貪婪賣),-3.289,-0.054,-0.054,0.0,1,-5.864,-0.168,2.575,33
0322.HK,順向(散戶看多跟買),-3.443,-0.179,-0.201,0.0,3,-3.0,-0.163,-0.442,33
0291.HK,順向(散戶看多跟買),-4.458,-0.116,-0.136,0.333,3,-5.864,-0.168,1.406,33
0386.HK,順向(散戶看多跟買),-5.273,-0.119,-0.137,0.0,3,-3.84,-0.104,-1.434,33
0016.HK,順向(散戶看多跟買),-5.609,-0.192,-0.232,0.0,3,-5.192,-0.185,-0.417,33
0101.HK,順向(散戶看多跟買),-6.261,-0.169,-0.207,0.0,3,-6.43,-0.172,0.169,33
