symbol,name,beta,volatility,score,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha
0992.HK,聯想集團,1.21,49.1,55.5,3.499,0.134,-0.002,1.0,1,5.795,1.045,-0.16,-2.297
0868.HK,信義玻璃,1.32,43.0,38.3,3.195,0.034,-0.002,1.0,1,-0.599,-0.042,-0.185,3.794
2382.HK,舜宇光學,1.43,53.2,59.3,1.391,0.038,-0.024,1.0,1,2.551,0.213,-0.141,-1.161
0981.HK,中芯國際,1.42,57.1,60.7,0.925,0.028,-0.037,1.0,1,0.964,0.06,-0.188,-0.039
0175.HK,吉利汽車,1.28,41.9,53.5,0.775,0.018,-0.025,1.0,1,-4.87,-0.192,-0.23,5.645
2628.HK,中國人壽,1.47,41.5,55.3,0.104,0.005,-0.027,1.0,1,-0.448,-0.026,-0.127,0.552
2318.HK,中國平安,1.41,37.6,53.2,-2.217,-0.019,-0.026,0.0,1,-5.925,-0.149,-0.184,3.708
3690.HK,美團團,1.55,48.8,58.7,-2.855,-0.038,-0.04,0.0,1,-2.351,-0.15,-0.18,-0.504
1810.HK,小米集團-W,1.25,42.8,53.6,-3.169,-0.025,-0.025,0.0,1,-6.188,-0.207,-0.227,3.019
0291.HK,華潤啤酒,1.28,40.5,48.1,-3.364,-0.054,-0.054,0.0,1,-5.905,-0.168,-0.18,2.541
1109.HK,華潤置地,1.33,40.8,51.9,-3.608,-0.033,-0.033,0.0,1,-0.417,-0.029,-0.165,-3.191
2319.HK,蒙牛乳業,1.25,40.3,47.4,-3.632,-0.024,-0.024,0.0,1,-2.538,-0.099,-0.136,-1.094
2269.HK,藥明生物,1.74,62.4,65.7,-3.735,-0.039,-0.039,0.0,1,-1.812,-0.108,-0.155,-1.923
9888.HK,阿里巴巴-SW,1.37,46.3,56.1,-3.751,-0.047,-0.047,0.0,1,-1.351,-0.09,-0.238,-2.4
0688.HK,中國海外,1.29,39.5,45.8,-3.886,-0.03,-0.03,0.0,1,-0.179,-0.017,-0.179,-3.707
1378.HK,中國宏橋,1.22,45.5,54.2,-3.899,-0.105,-0.105,0.0,1,-5.663,-0.276,-0.293,1.765
2015.HK,理想汽車-W,1.58,56.0,61.9,-4.139,-0.022,-0.022,0.0,1,-3.571,-0.259,-0.323,-0.569
9988.HK,阿里巴巴,1.44,44.2,55.9,-4.258,-0.033,-0.033,0.0,1,-4.041,-0.203,-0.256,-0.216
1211.HK,比亞迪電子,1.25,53.8,57.7,-4.543,-0.033,-0.033,0.0,1,-5.602,-0.215,-0.205,1.059
9618.HK,京東集團,1.56,46.1,57.9,-4.591,-0.013,-0.013,0.0,1,-1.225,-0.068,-0.163,-3.366
