symbol,sharpe,return,max_dd,days
0005.HK,1.624,2.705,-0.221,862
3988.HK,1.195,1.351,-0.173,862
0857.HK,1.147,2.107,-0.365,862
0992.HK,1.044,3.239,-0.449,862
0883.HK,1.024,1.725,-0.308,862
2388.HK,1.021,1.193,-0.31,862
0939.HK,1.021,1.236,-0.22,862
0981.HK,1.014,3.636,-0.452,862
1398.HK,0.999,1.147,-0.218,862
1378.HK,0.962,2.472,-0.435,862
2899.HK,0.94,2.138,-0.369,862
0941.HK,0.917,0.789,-0.137,862
1088.HK,0.903,1.273,-0.245,862
0288.HK,0.859,1.17,-0.209,862
2628.HK,0.795,1.54,-0.447,862
1810.HK,0.692,1.226,-0.591,862
0267.HK,0.642,0.873,-0.328,862
0002.HK,0.603,0.469,-0.134,861
0762.HK,0.564,0.724,-0.36,862
0175.HK,0.442,0.541,-0.435,862
0836.HK,0.441,0.491,-0.314,862
0011.HK,0.434,0.408,-0.377,768
0700.HK,0.424,0.483,-0.373,862
0669.HK,0.359,0.372,-0.408,862
0386.HK,0.326,0.32,-0.308,862
3968.HK,0.314,0.311,-0.513,862
0016.HK,0.284,0.271,-0.387,862
9988.HK,0.259,0.177,-0.442,862
2318.HK,0.239,0.184,-0.514,862
0388.HK,0.224,0.187,-0.407,862
1109.HK,0.205,0.115,-0.465,862
0316.HK,0.184,0.065,-0.393,862
0012.HK,0.184,0.156,-0.297,862
1177.HK,0.174,0.063,-0.52,862
9888.HK,0.138,-0.042,-0.535,862
1113.HK,0.099,0.093,-0.376,862
2382.HK,0.092,-0.193,-0.702,862
1093.HK,0.075,-0.115,-0.496,862
2269.HK,-0.004,-0.445,-0.861,862
1299.HK,-0.009,-0.077,-0.486,862
0688.HK,-0.081,-0.237,-0.529,862
0868.HK,-0.113,-0.315,-0.636,862
2020.HK,-0.117,-0.236,-0.474,862
2015.HK,-0.131,-0.48,-0.718,825
0322.HK,-0.131,-0.2,-0.492,862
0066.HK,-0.176,-0.09,-0.433,862
1211.HK,-0.176,-0.612,-0.826,862
2313.HK,-0.279,-0.439,-0.586,862
0823.HK,-0.29,-0.222,-0.479,862
9618.HK,-0.317,-0.532,-0.671,862
0101.HK,-0.358,-0.405,-0.614,862
3690.HK,-0.364,-0.597,-0.672,862
1928.HK,-0.366,-0.463,-0.584,862
1997.HK,-0.389,-0.413,-0.609,862
2319.HK,-0.398,-0.514,-0.678,862
1044.HK,-0.424,-0.287,-0.476,862
0291.HK,-0.514,-0.589,-0.648,862
