date,trading_volume,advanced_stocks,declined_stocks,unchanged_stocks,turnover_hkd,total_shares,deals,hsi_open,hsi_close,hsi_change,hsi_change_pct,morning_close,afternoon_close,change_value,change_percent,hcei_close,hcei_change_pct
2026-06-01,8494,6321,5513,3711,330936798422,332606032652,5053444,,,,,,,,,,
2026-06-02,9264,7014,5389,3206,373780074809,392344034550,5377015,,,,,,,,,,
2026-06-03,8623,4707,7176,3625,322921049289,306360526774,4685206,25599.96,26038.32,-405.11,-1.556,25599.96,26038.32,-405.11,-1.556,8762.97,-1.899
2026-06-04,8444,4156,7968,3449,270230405510,337335446560,4198825,25276.02,25633.21,-379.81,-1.482,25276.02,25633.21,-379.81,-1.482,8596.59,-1.101
2026-06-05,8479,3979,8022,3651,342805366101,288120803454,4728015,25047.83,25253.4,-291.45,-1.154,25047.83,25253.4,-291.45,-1.154,8501.91,-0.768
2026-06-08,8793,4414,8079,3219,363974709712,386914964257,5106792,24668.59,24961.95,-304.89,-1.221,24668.59,24961.95,-304.89,-1.221,8436.63,-1.129
2026-06-09,8210,4850,5658,5058,308916051395,268268212039,4594963,24620.43,24657.06,-91.16,-0.37,24620.43,24657.06,-91.16,-0.37,8341.36,-0.201
2026-06-10,8594,5063,7033,3564,320553876725,334215436140,5114241,24292.95,24565.9,-157.94,-0.643,24292.95,24565.9,-157.94,-0.643,8324.59,-0.07
2026-06-11,8540,5094,6665,3852,288573744236,453886890072,4740162,24136.17,24407.96,-158.67,-0.65,24136.17,24407.96,-158.67,-0.65,8318.73,-1.222
2026-06-12,8562,6591,4848,4115,316438308281,387978758583,4671860,,,,,,,,,,
2026-06-15,8441,6307,5017,4299,283353409699,360773589860,4345379,,,,,,,,,,
2026-06-16,8181,4574,7333,3759,249884957667,342221425087,4108495,24533.35,24842.67,-348.72,-1.404,24533.35,24842.67,-348.72,-1.404,8375.74,-1.62
2026-06-17,7948,4718,6774,4242,270412058257,333404820150,4132068,24403.96,24493.95,-181.79,-0.742,24403.96,24493.95,-181.79,-0.742,8240.05,-1.165
2026-06-18,8446,5124,7173,3477,358714541610,330320857390,5049735,23900.01,24312.16,-387.35,-1.593,23900.01,24312.16,-387.35,-1.593,8144.03,-2.063
