strategy,period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,fast,slow,signal
RSI,20.0,30.0,70.0,0.3217367241471125,0.5773931100207647,-0.04608221847915613,0.6666666666666666,,,
RSI,14.0,30.0,70.0,0.2105125696273944,0.20848828262136093,-0.12201675682026739,0.6949152542372882,,,
RSI,10.0,25.0,75.0,0.056430561418224556,-0.17597161260867944,-0.15856471148919749,0.5,,,
MACD,,,,0.032910319184545234,-0.17624578098486351,-0.1346873329604326,0.47674418604651164,12.0,26.0,9.0
RSI,25.0,35.0,65.0,0.004167611645168545,-0.3800053563307138,-0.12481078980952855,0.4666666666666667,,,
RSI,30.0,40.0,60.0,-0.026330889046956574,-0.42355391758329136,-0.18938581743733995,0.5,,,
RSI,5.0,20.0,80.0,-0.1673160960094333,-0.5653745001303632,-0.27614157363456715,0.4855072463768116,,,
MACD,,,,-0.11736695085357285,-0.609785699903046,-0.26500125228105603,0.46153846153846156,10.0,30.0,12.0
MACD,,,,-0.2206315445195458,-0.8017901489098864,-0.30245940559626383,0.41379310344827586,8.0,24.0,8.0
MACD,,,,-0.20889026391778642,-0.9972732057066088,-0.28431664647651045,0.4583333333333333,15.0,35.0,10.0
