strategy,period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,trades_count
RSI_MEAN_REVERSION,5,20,65,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,20,70,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,20,75,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,20,80,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,25,65,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,25,70,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,25,75,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,25,80,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,30,65,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,30,70,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,30,75,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,30,80,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,35,65,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,35,70,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,35,75,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,5,35,80,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,7,20,65,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,7,20,70,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,7,20,75,0.0,0.0,0.0,0.5,0
RSI_MEAN_REVERSION,7,20,80,0.0,0.0,0.0,0.5,0
